PolicyType.LoadBalancingSimple,91.24.0.4/30,2,vaduz,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet99/1 (91.24.0.4/30)},vaduz
PolicyType.LoadBalancingSimple,91.5.0.0/30,2,luxembourg,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/0 (91.5.0.0/30)},luxembourg
PolicyType.LoadBalancingSimple,91.5.0.0/30,2,rotterdam,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/0 (91.5.0.0/30)},rotterdam
PolicyType.LoadBalancingSimple,91.5.0.0/30,3,paris,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/0 (91.5.0.0/30)},paris
PolicyType.LoadBalancingSimple,91.5.0.0/30,4,madrid,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/0 (91.5.0.0/30)},madrid
PolicyType.LoadBalancingSimple,91.5.0.4/30,2,luxembourg,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},luxembourg
PolicyType.LoadBalancingSimple,91.5.0.4/30,2,rotterdam,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},rotterdam
PolicyType.LoadBalancingSimple,91.5.0.4/30,3,paris,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},paris
PolicyType.LoadBalancingSimple,91.5.0.4/30,4,madrid,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},madrid
PolicyType.LoadBalancingSimple,91.6.0.0/30,2,stockholm,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/0 (91.6.0.0/30)},stockholm
PolicyType.LoadBalancingSimple,91.6.0.0/30,2,vaduz,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/0 (91.6.0.0/30)},vaduz
PolicyType.LoadBalancingSimple,91.6.0.4/30,2,stockholm,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/1 (91.6.0.4/30)},stockholm
PolicyType.LoadBalancingSimple,91.6.0.4/30,2,vaduz,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/1 (91.6.0.4/30)},vaduz
PolicyType.LoadBalancingSimple,91.8.0.0/30,2,vaduz,PolicyStatus.HOLDS,{9},{madrid:FastEthernet99/0 (91.8.0.0/30)},vaduz
PolicyType.LoadBalancingSimple,91.8.0.4/30,2,vaduz,PolicyStatus.HOLDS,{9},{madrid:FastEthernet99/1 (91.8.0.4/30)},vaduz
PolicyType.Waypoint,100.0.0.0/24,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{lyon:FastEthernet0/0 (100.0.0.0/24)},stockholm
PolicyType.Waypoint,100.0.14.0/24,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{brussels:FastEthernet0/0 (100.0.14.0/24)},stockholm
PolicyType.Waypoint,100.0.14.0/24,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{brussels:FastEthernet0/0 (100.0.14.0/24)},vaduz
PolicyType.Waypoint,100.0.14.0/24,zurich,vaduz,PolicyStatus.HOLDS,{9},{brussels:FastEthernet0/0 (100.0.14.0/24)},vaduz
