type,subnet,specifics,source,Status,Environments,Destinations,Sources
PolicyType.Reachability,32.250.13.0/24,0,r11,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet140/0 (32.250.13.0/24)},r11
PolicyType.Reachability,32.250.13.0/24,0,r6,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet140/0 (32.250.13.0/24)},r6
PolicyType.Reachability,32.250.13.0/24,0,r8,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet140/0 (32.250.13.0/24)},r8
PolicyType.Reachability,32.250.13.0/24,0,r1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet140/0 (32.250.13.0/24)},r1
PolicyType.Reachability,32.250.13.0/24,0,r3,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet140/0 (32.250.13.0/24)},r3
PolicyType.Reachability,32.250.13.0/24,0,r9,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet140/0 (32.250.13.0/24)},r9
PolicyType.Reachability,32.250.13.0/24,0,r10,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet140/0 (32.250.13.0/24)},r10
PolicyType.Reachability,32.250.13.0/24,0,r5,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet140/0 (32.250.13.0/24)},r5
PolicyType.Reachability,32.250.13.0/24,0,r4,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet140/0 (32.250.13.0/24)},r4
PolicyType.Reachability,32.250.13.0/24,0,r7,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet140/0 (32.250.13.0/24)},r7
PolicyType.Reachability,32.249.155.0/24,0,r11,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet130/0 (32.249.155.0/24)},r11
PolicyType.Reachability,32.249.155.0/24,0,r1,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet130/0 (32.249.155.0/24)},r1
PolicyType.Reachability,32.249.155.0/24,0,r3,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet130/0 (32.249.155.0/24)},r3
PolicyType.Reachability,32.249.155.0/24,0,r9,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet130/0 (32.249.155.0/24)},r9
PolicyType.Reachability,32.249.155.0/24,0,r10,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet130/0 (32.249.155.0/24)},r10
PolicyType.Reachability,32.249.155.0/24,0,r2,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet130/0 (32.249.155.0/24)},r2
PolicyType.Reachability,32.249.155.0/24,0,r8,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet130/0 (32.249.155.0/24)},r8
PolicyType.Reachability,32.249.155.0/24,0,r4,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet130/0 (32.249.155.0/24)},r4
PolicyType.Reachability,32.249.155.0/24,0,r7,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet130/0 (32.249.155.0/24)},r7
PolicyType.Reachability,32.249.155.0/24,0,r5,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet130/0 (32.249.155.0/24)},r5
PolicyType.Reachability,32.245.254.0/24,0,r6,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet140/0 (32.245.254.0/24)},r6
PolicyType.Reachability,32.245.254.0/24,0,r8,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet140/0 (32.245.254.0/24)},r8
PolicyType.Reachability,32.245.254.0/24,0,r1,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet140/0 (32.245.254.0/24)},r1
PolicyType.Reachability,32.245.254.0/24,0,r3,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet140/0 (32.245.254.0/24)},r3
PolicyType.Reachability,32.245.254.0/24,0,r9,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet140/0 (32.245.254.0/24)},r9
PolicyType.Reachability,32.245.254.0/24,0,r10,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet140/0 (32.245.254.0/24)},r10
PolicyType.Reachability,32.245.254.0/24,0,r2,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet140/0 (32.245.254.0/24)},r2
PolicyType.Reachability,32.245.254.0/24,0,r5,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet140/0 (32.245.254.0/24)},r5
PolicyType.Reachability,32.245.254.0/24,0,r4,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet140/0 (32.245.254.0/24)},r4
PolicyType.Reachability,32.245.254.0/24,0,r7,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet140/0 (32.245.254.0/24)},r7
PolicyType.Reachability,32.230.72.0/24,0,r11,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet110/0 (32.230.72.0/24)},r11
PolicyType.Reachability,32.230.72.0/24,0,r6,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet110/0 (32.230.72.0/24)},r6
PolicyType.Reachability,32.230.72.0/24,0,r8,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet110/0 (32.230.72.0/24)},r8
PolicyType.Reachability,32.230.72.0/24,0,r1,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet110/0 (32.230.72.0/24)},r1
PolicyType.Reachability,32.230.72.0/24,0,r9,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet110/0 (32.230.72.0/24)},r9
PolicyType.Reachability,32.230.72.0/24,0,r10,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet110/0 (32.230.72.0/24)},r10
PolicyType.Reachability,32.230.72.0/24,0,r2,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet110/0 (32.230.72.0/24)},r2
PolicyType.Reachability,32.230.72.0/24,0,r5,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet110/0 (32.230.72.0/24)},r5
PolicyType.Reachability,32.230.72.0/24,0,r4,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet110/0 (32.230.72.0/24)},r4
PolicyType.Reachability,32.230.72.0/24,0,r7,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet110/0 (32.230.72.0/24)},r7
PolicyType.Reachability,32.225.207.0/24,0,r11,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet190/0 (32.225.207.0/24)},r11
PolicyType.Reachability,32.225.207.0/24,0,r6,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet190/0 (32.225.207.0/24)},r6
PolicyType.Reachability,32.225.207.0/24,0,r8,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet190/0 (32.225.207.0/24)},r8
PolicyType.Reachability,32.225.207.0/24,0,r1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet190/0 (32.225.207.0/24)},r1
PolicyType.Reachability,32.225.207.0/24,0,r3,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet190/0 (32.225.207.0/24)},r3
PolicyType.Reachability,32.225.207.0/24,0,r9,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet190/0 (32.225.207.0/24)},r9
PolicyType.Reachability,32.225.207.0/24,0,r10,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet190/0 (32.225.207.0/24)},r10
PolicyType.Reachability,32.225.207.0/24,0,r5,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet190/0 (32.225.207.0/24)},r5
PolicyType.Reachability,32.225.207.0/24,0,r4,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet190/0 (32.225.207.0/24)},r4
PolicyType.Reachability,32.225.207.0/24,0,r7,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet190/0 (32.225.207.0/24)},r7
PolicyType.Reachability,32.225.87.0/24,0,r11,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet140/0 (32.225.87.0/24)},r11
PolicyType.Reachability,32.225.87.0/24,0,r6,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet140/0 (32.225.87.0/24)},r6
PolicyType.Reachability,32.225.87.0/24,0,r8,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet140/0 (32.225.87.0/24)},r8
PolicyType.Reachability,32.225.87.0/24,0,r1,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet140/0 (32.225.87.0/24)},r1
PolicyType.Reachability,32.225.87.0/24,0,r3,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet140/0 (32.225.87.0/24)},r3
PolicyType.Reachability,32.225.87.0/24,0,r9,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet140/0 (32.225.87.0/24)},r9
PolicyType.Reachability,32.225.87.0/24,0,r10,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet140/0 (32.225.87.0/24)},r10
PolicyType.Reachability,32.225.87.0/24,0,r2,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet140/0 (32.225.87.0/24)},r2
PolicyType.Reachability,32.225.87.0/24,0,r5,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet140/0 (32.225.87.0/24)},r5
PolicyType.Reachability,32.225.87.0/24,0,r7,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet140/0 (32.225.87.0/24)},r7
PolicyType.Reachability,32.218.73.0/24,0,r11,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet120/0 (32.218.73.0/24)},r11
PolicyType.Reachability,32.218.73.0/24,0,r6,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet120/0 (32.218.73.0/24)},r6
PolicyType.Reachability,32.218.73.0/24,0,r8,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet120/0 (32.218.73.0/24)},r8
PolicyType.Reachability,32.218.73.0/24,0,r1,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet120/0 (32.218.73.0/24)},r1
PolicyType.Reachability,32.218.73.0/24,0,r3,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet120/0 (32.218.73.0/24)},r3
PolicyType.Reachability,32.218.73.0/24,0,r9,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet120/0 (32.218.73.0/24)},r9
PolicyType.Reachability,32.218.73.0/24,0,r2,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet120/0 (32.218.73.0/24)},r2
PolicyType.Reachability,32.218.73.0/24,0,r4,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet120/0 (32.218.73.0/24)},r4
PolicyType.Reachability,32.218.73.0/24,0,r7,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet120/0 (32.218.73.0/24)},r7
PolicyType.Isolation,32.218.73.0/24,0,r10,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet120/0 (32.218.73.0/24)},r10
PolicyType.Reachability,32.204.235.0/24,0,r11,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.204.235.0/24)},r11
PolicyType.Reachability,32.204.235.0/24,0,r6,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.204.235.0/24)},r6
PolicyType.Reachability,32.204.235.0/24,0,r8,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.204.235.0/24)},r8
PolicyType.Reachability,32.204.235.0/24,0,r1,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.204.235.0/24)},r1
PolicyType.Reachability,32.204.235.0/24,0,r3,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.204.235.0/24)},r3
PolicyType.Reachability,32.204.235.0/24,0,r9,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.204.235.0/24)},r9
PolicyType.Reachability,32.204.235.0/24,0,r2,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.204.235.0/24)},r2
PolicyType.Reachability,32.204.235.0/24,0,r4,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.204.235.0/24)},r4
PolicyType.Reachability,32.204.235.0/24,0,r7,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.204.235.0/24)},r7
PolicyType.Isolation,32.204.235.0/24,0,r10,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.204.235.0/24)},r10
PolicyType.Reachability,32.202.6.0/24,0,r6,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet110/0 (32.202.6.0/24)},r6
PolicyType.Reachability,32.202.6.0/24,0,r8,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet110/0 (32.202.6.0/24)},r8
PolicyType.Reachability,32.202.6.0/24,0,r1,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet110/0 (32.202.6.0/24)},r1
PolicyType.Reachability,32.202.6.0/24,0,r3,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet110/0 (32.202.6.0/24)},r3
PolicyType.Reachability,32.202.6.0/24,0,r9,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet110/0 (32.202.6.0/24)},r9
PolicyType.Reachability,32.202.6.0/24,0,r10,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet110/0 (32.202.6.0/24)},r10
PolicyType.Reachability,32.202.6.0/24,0,r2,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet110/0 (32.202.6.0/24)},r2
PolicyType.Reachability,32.202.6.0/24,0,r5,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet110/0 (32.202.6.0/24)},r5
