type,subnet,specifics,source,Status,Environments,Destinations,Sources
PolicyType.Isolation,32.129.117.0/24,0,r8,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet100/0 (32.129.117.0/24)},r8
PolicyType.Isolation,32.129.117.0/24,0,r5,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet100/0 (32.129.117.0/24)},r5
PolicyType.Isolation,32.129.117.0/24,0,r6,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet100/0 (32.129.117.0/24)},r6
PolicyType.Isolation,32.129.117.0/24,0,r3,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet100/0 (32.129.117.0/24)},r3
PolicyType.Isolation,32.129.117.0/24,0,r1,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet100/0 (32.129.117.0/24)},r1
PolicyType.Reachability,32.44.79.0/24,0,r2,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.44.79.0/24)},r2
PolicyType.Reachability,32.44.79.0/24,0,r10,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.44.79.0/24)},r10
PolicyType.Reachability,32.44.79.0/24,0,r11,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.44.79.0/24)},r11
PolicyType.Reachability,32.44.79.0/24,0,r1,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.44.79.0/24)},r1
PolicyType.Isolation,32.44.79.0/24,0,r7,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.44.79.0/24)},r7
PolicyType.Isolation,32.44.79.0/24,0,r9,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.44.79.0/24)},r9
PolicyType.Isolation,32.44.79.0/24,0,r8,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.44.79.0/24)},r8
PolicyType.Isolation,32.44.79.0/24,0,r5,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.44.79.0/24)},r5
PolicyType.Isolation,32.44.79.0/24,0,r6,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.44.79.0/24)},r6
PolicyType.Isolation,32.44.79.0/24,0,r4,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.44.79.0/24)},r4
PolicyType.Reachability,2.128.10.0/24,0,r7,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r7
PolicyType.Reachability,2.128.10.0/24,0,r9,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r9
PolicyType.Reachability,2.128.10.0/24,0,r8,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r8
PolicyType.Reachability,2.128.10.0/24,0,r5,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r5
PolicyType.Reachability,2.128.10.0/24,0,r4,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r4
PolicyType.Isolation,2.128.10.0/24,0,r2,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r2
PolicyType.Isolation,2.128.10.0/24,0,r10,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r10
PolicyType.Isolation,2.128.10.0/24,0,r11,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r11
PolicyType.Isolation,2.128.10.0/24,0,r3,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r3
PolicyType.Isolation,2.128.10.0/24,0,r1,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r1
PolicyType.Reachability,2.128.9.0/24,0,r2,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r2
PolicyType.Reachability,2.128.9.0/24,0,r11,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r11
PolicyType.Reachability,2.128.9.0/24,0,r3,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r3
PolicyType.Reachability,2.128.9.0/24,0,r1,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r1
PolicyType.Isolation,2.128.9.0/24,0,r7,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r7
PolicyType.Isolation,2.128.9.0/24,0,r9,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r9
PolicyType.Isolation,2.128.9.0/24,0,r8,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r8
PolicyType.Isolation,2.128.9.0/24,0,r5,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r5
PolicyType.Isolation,2.128.9.0/24,0,r6,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r6
PolicyType.Isolation,2.128.9.0/24,0,r4,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r4
PolicyType.Reachability,2.128.8.0/24,0,r10,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r10
PolicyType.Reachability,2.128.8.0/24,0,r11,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r11
PolicyType.Reachability,2.128.8.0/24,0,r3,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r3
PolicyType.Reachability,2.128.8.0/24,0,r1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r1
PolicyType.Isolation,2.128.8.0/24,0,r7,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r7
PolicyType.Isolation,2.128.8.0/24,0,r9,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r9
PolicyType.Isolation,2.128.8.0/24,0,r8,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r8
PolicyType.Isolation,2.128.8.0/24,0,r5,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r5
PolicyType.Isolation,2.128.8.0/24,0,r6,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r6
PolicyType.Isolation,2.128.8.0/24,0,r4,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r4
PolicyType.Reachability,2.128.7.0/24,0,r2,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet3/0 (2.128.7.0/24)},r2
PolicyType.Reachability,2.128.7.0/24,0,r10,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet3/0 (2.128.7.0/24)},r10
PolicyType.Reachability,2.128.7.0/24,0,r3,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet3/0 (2.128.7.0/24)},r3
PolicyType.Reachability,2.128.7.0/24,0,r1,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet3/0 (2.128.7.0/24)},r1
PolicyType.Isolation,2.128.7.0/24,0,r7,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet3/0 (2.128.7.0/24)},r7
PolicyType.Isolation,2.128.7.0/24,0,r9,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet3/0 (2.128.7.0/24)},r9
PolicyType.Isolation,2.128.7.0/24,0,r8,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet3/0 (2.128.7.0/24)},r8
PolicyType.Isolation,2.128.7.0/24,0,r5,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet3/0 (2.128.7.0/24)},r5
